year,Income_Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1992,80-89.9,113.5939095,214.2924208,327.8296832,71.8658156,8.759763593,17.87706856,1.60893617,26.81560284,10.72624114,39.32955083,8.938534279,32.1787234,39.15078014,5.363120567,26.81560284,231.8655792,178.7706856,19.66477541,103.6869976,37.89938534,35.75413712,23.24018913,57.11723404,97.78756501,98.32387707,53.98874705,13.05026005,3.21787234,2.681560284,5.363120567,98.32387707,25.02789598,13.05026005,5.184349882,2.431281324
1992,90-100,192.3767821,652.155461,871.3283215,230.6141844,28.06699764,26.81560284,1.787706856,144.8042553,46.48037825,48.26808511,17.87706856,89.38534279,85.80992908,35.75413712,82.23451537,513.2327612,321.787234,26.81560284,175.1952719,143.0165485,268.1560284,37.54184397,180.5601801,167.6511489,151.9550827,84.02222222,17.87706856,7.150827423,4.022340426,10.72624114,143.0165485,35.75413712,14.48042553,11.3161844,8.938534279
1995,Less than 20,11.45385774,9.949121413,24.87447285,2.50397351,1.135134658,13.35452539,0.834657837,33.38631347,3.338631347,41.73289183,3.004768212,70.11125828,16.69315673,3.338631347,5.842604857,28.04450331,75.1192053,6.426865342,48.41015453,25.0397351,75.87039735,10.85055188,25.0397351,5.174878587,30.04768212,13.35452539,5.174878587,1.669315673,1.118441501,3.338631347,30.04768212,3.839426049,5.675673289,6.677262693,1.185214128
1995,20-39.9,29.06202709,57.92525386,94.86720971,10.24959823,2.170110375,16.69315673,1.251986755,61.76467991,10.51668874,14.18918322,5.675673289,25.0397351,16.69315673,3.004768212,11.68520971,72.11443709,108.5055188,10.34975717,46.74083885,23.37041943,45.40538631,12.51986755,34.2209713,14.43958057,45.07152318,33.38631347,5.842604857,2.337041943,2.170110375,1.669315673,46.74083885,3.338631347,6.844194261,6.510331126,1.669315673
1995,40-59.9,51.28593016,76.45465784,137.8854746,15.69156733,2.737677704,16.69315673,1.168520971,41.73289183,11.68520971,16.69315673,5.842604857,41.73289183,13.35452539,5.00794702,10.01589404,108.5055188,125.1986755,15.52463576,66.77262693,58.42604856,33.38631347,10.01589404,35.05562914,25.0397351,63.43399559,31.71699779,10.68362031,5.00794702,2.50397351,3.004768212,63.43399559,25.0397351,11.68520971,5.842604857,2.670905077
1995,60-79.9,75.21936424,125.8664018,232.719298,35.89028698,4.173289183,16.69315673,1.335452539,48.41015453,8.012715232,23.37041943,10.01589404,43.40220751,24.37200883,6.677262693,21.03337748,173.60883,158.584989,21.70110375,83.46578366,58.42604856,20.03178808,13.35452539,35.05562914,70.11125828,95.15099338,55.08741722,12.01907285,3.839426049,2.587439294,3.171699779,95.15099338,16.69315673,12.35293598,5.00794702,2.50397351
1995,80-89.9,114.5385774,214.1732009,345.0475497,79.45942605,7.178057395,30.04768212,3.004768212,25.0397351,13.35452539,38.39426049,15.35770419,58.42604856,41.73289183,3.839426049,41.73289183,251.0650773,200.3178808,28.37836645,105.1668874,28.37836645,50.0794702,41.73289183,50.66373068,105.5842163,108.5055188,50.0794702,16.3592936,8.346578366,3.505562914,6.176467991,111.8441501,28.37836645,14.68997793,8.346578366,3.672494481
1995,90-100,188.0484106,596.1126269,783.9106402,253.4021192,21.70110375,30.04768212,2.50397351,83.46578366,33.38631347,83.46578366,16.69315673,91.81236203,116.8520971,21.70110375,105.1668874,422.6707285,292.1302428,37.05880795,166.9315673,135.2145695,200.3178808,30.04768212,117.686755,164.5945254,151.9077263,66.77262693,15.8584989,8.346578366,4.674083885,8.346578366,150.2384106,31.71699779,13.85532009,8.179646799,8.346578366
1998,Less than 20,12.91216387,9.075029118,22.64825291,2.878215474,1.100956739,15.72795341,2.044633943,13.3687604,26.7375208,26.7375208,6.605740433,31.45590682,9.594051581,1.100956739,7.863976706,34.28693844,86.50374376,6.605740433,125.8236273,25.16472546,42.46547421,6.291181364,33.02870216,6.763019967,37.74708819,53.08184276,6.291181364,1.022316972,1.43124376,1.572795341,39.31988353,11.79596506,6.448460899,9.436772047,1.730074875
1998,20-39.9,31.88188609,54.4187188,98.29970882,10.53772879,2.359193012,31.45590682,1.572795341,12.73964226,15.09883528,39.31988353,7.863976706,40.89267887,14.15515807,2.044633943,14.94155574,82.33583611,117.9596506,10.22316972,94.36772047,37.74708819,48.59937604,7.863976706,39.31988353,16.04251248,58.19342762,53.4750416,9.908610649,1.730074875,2.044633943,3.145590682,59.76622296,20.44633943,9.436772047,9.751331115,1.808714642
